m,n,quotient,rank_resolution,torsion_size,lift_argument,M_MAX_scan,date
97,10,E_3,ellrank,4,naive,100,2026-04-29
97,16,E_3,modular_symbol,4,naive,100,2026-04-29
97,18,E_uV,ellrank,8,refined,100,2026-04-29
97,26,E_3,modular_symbol,4,naive,100,2026-04-29
97,28,E_3,modular_symbol,4,naive,100,2026-04-29
97,32,E_3,modular_symbol,4,naive,100,2026-04-29
97,42,E_3,modular_symbol,4,naive,100,2026-04-29
97,46,E_uV,ellrank,8,refined,100,2026-04-29
97,50,E_3,modular_symbol,4,naive,100,2026-04-29
97,64,E_3,modular_symbol,4,naive,100,2026-04-29
97,70,E_3,modular_symbol,4,naive,100,2026-04-29
97,74,E_3,modular_symbol,4,naive,100,2026-04-29
97,78,E_3,modular_symbol,4,naive,100,2026-04-29
97,80,E_3,modular_symbol,4,naive,100,2026-04-29
97,86,E_3,ellrank,4,naive,100,2026-04-29
97,88,E_3,modular_symbol,4,naive,100,2026-04-29
97,90,E_3,modular_symbol,4,naive,100,2026-04-29
97,94,E_3,modular_symbol,4,naive,100,2026-04-29
98,1,E_3,modular_symbol,4,naive,100,2026-04-29
98,3,E_3,ellrank,4,naive,100,2026-04-29
98,5,E_3,modular_symbol,4,naive,100,2026-04-29
98,15,E_3,modular_symbol,4,naive,100,2026-04-29
98,17,E_3,ellrank,4,naive,100,2026-04-29
98,19,E_3,ellrank,4,naive,100,2026-04-29
98,33,E_3,ellrank,4,naive,100,2026-04-29
98,37,E_3,ellrank,4,naive,100,2026-04-29
98,43,E_3,ellrank,4,naive,100,2026-04-29
98,45,E_3,ellrank,4,naive,100,2026-04-29
98,61,E_3,ellrank,4,naive,100,2026-04-29
98,67,E_3,ellrank,4,naive,100,2026-04-29
98,69,E_3,ellrank,4,naive,100,2026-04-29
98,71,E_uV,ellrank,8,refined,100,2026-04-29
98,73,E_3,modular_symbol,4,naive,100,2026-04-29
98,83,E_3,modular_symbol,4,naive,100,2026-04-29
98,87,E_3,ellrank,4,naive,100,2026-04-29
98,93,E_3,modular_symbol,4,naive,100,2026-04-29
98,97,E_3,ellrank,4,naive,100,2026-04-29
99,2,E_3,ellrank,4,naive,100,2026-04-29
99,4,E_3,modular_symbol,4,naive,100,2026-04-29
99,8,E_uV,ellrank,8,refined,100,2026-04-29
99,20,E_uV,ellrank,8,refined,100,2026-04-29
99,26,E_uV,ellrank,8,refined,100,2026-04-29
99,34,E_uV,ellrank,8,refined,100,2026-04-29
99,50,E_3,modular_symbol,4,naive,100,2026-04-29
99,52,E_3,modular_symbol,4,naive,100,2026-04-29
99,58,E_3,ellrank,4,naive,100,2026-04-29
99,62,E_uV,ellrank,8,refined,100,2026-04-29
99,76,E_uV,ellrank,8,refined,100,2026-04-29
99,82,E_3,ellrank,4,naive,100,2026-04-29
99,86,E_uV,ellrank,8,refined,100,2026-04-29
99,92,E_3,modular_symbol,4,naive,100,2026-04-29
99,98,E_uV,ellrank,8,refined,100,2026-04-29
100,1,E_3,ellrank,4,naive,100,2026-04-29
100,3,E_3,modular_symbol,4,naive,100,2026-04-29
100,7,E_3,modular_symbol,4,naive,100,2026-04-29
100,9,E_3,ellrank,4,naive,100,2026-04-29
100,17,E_3,modular_symbol,4,naive,100,2026-04-29
100,19,E_uV,ellrank,8,refined,100,2026-04-29
100,23,E_3,modular_symbol,4,naive,100,2026-04-29
100,27,E_3,modular_symbol,4,naive,100,2026-04-29
100,29,E_3,modular_symbol,4,naive,100,2026-04-29
100,31,E_3,modular_symbol,4,naive,100,2026-04-29
100,37,E_3,modular_symbol,4,naive,100,2026-04-29
100,39,E_3,modular_symbol,4,naive,100,2026-04-29
100,47,E_uV,ellrank,8,refined,100,2026-04-29
100,51,E_3,modular_symbol,4,naive,100,2026-04-29
100,53,E_3,modular_symbol,4,naive,100,2026-04-29
100,61,E_3,modular_symbol,4,naive,100,2026-04-29
100,69,E_3,modular_symbol,4,naive,100,2026-04-29
100,73,E_3,modular_symbol,4,naive,100,2026-04-29
100,79,E_3,modular_symbol,4,naive,100,2026-04-29
100,81,E_3,modular_symbol,4,naive,100,2026-04-29
100,87,E_3,modular_symbol,4,naive,100,2026-04-29
100,93,E_3,modular_symbol,4,naive,100,2026-04-29
100,99,E_3,modular_symbol,4,naive,100,2026-04-29
